"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"","https://apollo.olx.in/v1/files/p8h34vtt6k9l3-IN/image;s=150x0;q=50;f=webp;","₹ 15,500","2 BHK - 2 Bathroom - 1000 sqft","One 2 BHK ful furnished set and one studio room full furnished","Guru Teg Bahadur Nagar, Kharar","May 28",""
"","https://apollo.olx.in/v1/files/ft7ekun2y1x9-IN/image;s=150x0;q=50;f=webp;","₹ 15,000","2 BHK - 2 Bathroom - 1300 sqft","Fully furnished 2 bhk","Sector 116, Mohali","Jun 19",""
"","https://apollo.olx.in/v1/files/r8iqmgbeuvr2-IN/image;s=150x0;q=50;f=webp;","₹ 23,000","2 BHK - 2 Bathroom - 1099 sqft","Flat at gbp camellia near RBU","Khanpur, Kharar","3 days ago",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-127-mohali-iid-1845662491","https://apollo.olx.in/v1/files/e1gzb5ounbc9-IN/image;s=150x0;q=50;f=webp;","₹ 26,000","3 BHK - 3 Bathroom - 1500 sqft","3bhk ( owner free )","Sector 127, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-680-sq-ft-in-sector-124-mohali-iid-1847971573","https://apollo.olx.in/v1/files/pcq3jn064alv1-IN/image;s=150x0;q=50;f=webp;","₹ 13,000","1 BHK - 1 Bathroom - 680 sqft","FLAT FOR RENT FULL FURNISHED BACHELOR/WORKING COUPLE","Sector 124, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-sector-114-mohali-iid-1845662018","https://apollo.olx.in/v1/files/kma0weobn2y52-IN/image;s=150x0;q=50;f=webp;","₹ 18,000","2 BHK - 1 Bathroom - 900 sqft","2bhk ( owner free ) apartment","Sector 114, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-500-sq-ft-in-sector-114-mohali-iid-1845662096","https://apollo.olx.in/v1/files/lzv1tp6h3cq51-IN/image;s=150x0;q=50;f=webp;","₹ 9,000","1 BHK - 1 Bathroom - 500 sqft","1 BHK ( owner free ) for all","Sector 114, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1200-sq-ft-in-sunny-enclave-kharar-iid-1847878421","https://apollo.olx.in/v1/files/m6vg91y876p83-IN/image;s=150x0;q=50;f=webp;","₹ 21,500","2 BHK - 2 Bathroom - 1200 sqft","2bhk flat in Gilco valley Sector 127","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-150-sq-ft-in-gillco-valley-kharar-iid-1848670637","https://apollo.olx.in/v1/files/36i1c59luhv53-IN/image;s=150x0;q=50;f=webp;","₹ 13,000","2 BHK - 1 Bathroom - 150 sqft","3BHK FLAT 2ROOM FREE FOR FLATMATES LOOKING FOR A COUPLE","Gillco Valley, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1100-sq-ft-in-shivalik-city-kharar-iid-1848670321","","₹ 30,000","3 BHK - 2 Bathroom - 1100 sqft","Newly built fully furnished flat sbp shivalik city kharrar mohali","Shivalik City, Kharar","Today","https://apollo.olx.in/v1/files/7uoh3bcc1l7b1-IN/image;s=150x0;q=50;f=webp;"
