"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-891-sq-ft-in-sector-92-mohali-iid-1848239923","https://apollo.olx.in/v1/files/8gtefv8u882j-IN/image;s=150x0;q=50;f=webp;","₹ 16,000","2 BHK - 2 Bathroom - 891 sqft","2 bhk for rent only girls/married couples","Sector 92, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-2000-sq-ft-in-phase-2-mohali-iid-1847690268","","₹ 16,500","2 BHK - 2 Bathroom - 2000 sqft","Independent  2BHK set for Rent","Phase 2, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2150-sq-ft-in-sector-91-mohali-iid-1839398878","https://apollo.olx.in/v1/files/b0gf2cy5x41p2-IN/image;s=150x0;q=50;f=webp;","₹ 52,000","3 BHK - 3 Bathroom - 2150 sqft","3bhk Jubilee Golfvista flat available for rent","Sector 91, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1950-sq-ft-in-sector-99-mohali-iid-1839398402","https://apollo.olx.in/v1/files/xvxwclau292c1-IN/image;s=150x0;q=50;f=webp;","₹ 50,000","3 BHK - 3 Bathroom - 1950 sqft","3bhk Noble willasa fully furnished flat available for rent","Sector 99, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-99999-sq-ft-in-sector-111-mohali-iid-1848691994","","₹ 5,000","3 BHK - 2 Bathroom - 99999 sqft","Room mate for girl","Sector 111, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1950-sq-ft-in-sector-85-mohali-iid-1839398220","https://apollo.olx.in/v1/files/oajr0jvwtk1b3-IN/image;s=150x0;q=50;f=webp;","₹ 55,000","3 BHK - 3 Bathroom - 1950 sqft","3bhk Wave Garden fully furnished flat available for rent","Sector 85, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-independent-builder-floors-1850-sq-ft-in-sector-85-mohali-iid-1839398118","https://apollo.olx.in/v1/files/l89frkczjw4d1-IN/image;s=150x0;q=50;f=webp;","₹ 41,000","3 BHK - 3 Bathroom - 1850 sqft","3bhk wave estate fully furnished flat available for rent","Sector 85, Mohali","Today"
"","","₹ 30,000","2 BHK - 2 Bathroom - 1800 sqft","1st floor for rent in kharar punjab","Desu Majra, Kharar","Jun 06"
"","","₹ 25,500","2 BHK - 2 Bathroom - 1600 sqft","2bhk fully furnishd ( housefed complex)","Sector 79, Mohali","3 days ago"
"","","₹ 18,000","2 BHK - 1 Bathroom - 1000 sqft","2 room set Fully furnished","Sector 70, Mohali","Yesterday"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1550-sq-ft-in-sector-85-mohali-iid-1839398033","","₹ 30,000","2 BHK - 2 Bathroom - 1550 sqft","2bhk wave estate flat available for rent","Sector 85, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1950-sq-ft-in-sector-85-mohali-iid-1839397722","","₹ 55,999","3 BHK - 3 Bathroom - 1950 sqft","3bhk Natures Canvas flat available for rent","Sector 85, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1650-sq-ft-in-sector-99-mohali-iid-1839397546","","₹ 31,000","2 BHK - 2 Bathroom - 1650 sqft","2bhk One Rise fully furnished flat available for rent","Sector 99, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1550-sq-ft-in-sector-110-mohali-iid-1839284231","","₹ 17,000","2 BHK - 2 Bathroom - 1550 sqft","2bhk Tdi flat available for rent","Sector 110, Mohali","Today"
